,locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,cities,updateTime
93,973011,南美洲,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,乌拉圭,286,415,0,123,6,,,1586261007854
94,955003,亚洲,Asia,阿塞拜疆,Azerbaijan,阿塞拜疆,Azerbaijan,阿塞拜疆,590,641,0,44,7,,,1586261007854
95,985008,非洲,Africa,索马里,Somali,索马里,Somali,索马里,6,7,0,1,0,,,1586261007854
96,982011,非洲,Africa,尼日尔,Niger,尼日尔,Niger,尼日尔,217,253,0,26,10,,,1586261007854
97,0,非洲,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,13,16,0,3,0,,,1586261007854
98,0,非洲,Africa,几内亚,Guinea,几内亚,Guinea,几内亚,123,128,0,5,0,,,1586261007854
99,961004,欧洲,Europe,卢森堡,Luxembourg,卢森堡,Luxembourg,卢森堡,2527,2804,0,241,36,,,1586261007854
100,955015,亚洲,Asia,卡塔尔,Qatar,卡塔尔,Qatar,卡塔尔,1697,1832,0,131,4,,,1586261007854
101,0,非洲,Africa,赞比亚共和国,,赞比亚共和国,,赞比亚共和国,33,39,0,5,1,,,1586261007854
102,952010,亚洲,Asia,泰国,Thailand,泰国,Thailand,泰国,1408,2258,0,824,26,,,1586261007854
103,985006,非洲,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,卢旺达,101,105,0,4,0,,,1586261007854
104,965017,欧洲,Europe,梵蒂冈,Status Civitatis Vaticanae,梵蒂冈,Status Civitatis Vaticanae,梵蒂冈,7,7,0,0,0,,,1586261007854
105,962005,欧洲,Europe,瑞典,Sweden,瑞典,Sweden,瑞典,6712,7206,0,17,477,,,1586261007854
106,964007,欧洲,Europe,乌克兰,Ukraine,乌克兰,Ukraine,乌克兰,1389,1462,0,28,45,,,1586261007854
